datetime,HPI_inf,Fips,HPI_pre
2013-04-01,544.6686608904977,15,580.6119127296612
2013-04-01,316.65841246802904,16,333.0472854236636
2013-04-01,342.18306974768353,17,331.3975225181016
2013-04-01,280.44740116644397,18,266.5872833382349
2013-04-01,291.27253900684116,19,291.05311060764654
2013-04-01,269.1596505978247,20,263.36881767792886
2013-04-01,331.33480127087523,21,321.8519393646214
2013-04-01,283.00333648987106,22,270.79898230515033
2013-04-01,518.0452983813157,23,525.3395769840027
2013-04-01,474.4209181099714,24,489.8616742440896
2013-04-01,707.7743435434054,25,756.1771598095619
2013-04-01,279.98478843822187,26,291.9956974360472
2013-04-01,353.181687361164,27,377.7328978386647
2013-04-01,274.96544033701207,28,259.9754501400565
2013-04-01,310.6444470011417,29,316.262740834866
2013-04-01,419.6475710884746,30,429.98448376393736
2013-04-01,297.56407211066175,31,312.0429632256302
2013-04-01,246.00588355030845,32,295.3466734685662
2013-04-01,433.76882461745424,33,459.00891046207425
2013-04-01,525.5164939421027,34,530.0978832033683
2013-04-01,327.66859539971506,35,324.8553604745213
2013-04-01,646.5591142814156,36,655.5876711710058
2013-04-01,346.11527793757136,37,331.9923795235414
2013-04-01,348.33581903303747,38,325.4688147431577
2013-04-01,271.3801916932908,39,268.7389212127829
2013-04-01,238.7081677626048,40,219.6406908569502
2013-04-01,421.02384395493533,41,451.4445929092053
2013-04-01,423.8920428699123,42,410.1012031470551
2013-04-01,508.68895595302365,44,541.78145374827875
2013-04-01,351.6088040852088,45,355.9454813478875
2013-04-01,352.1523740408698,46,367.6817582256185
2013-04-01,329.2299133574647,47,314.830659739322
2013-04-01,266.4996274105476,48,258.2478748137556
2013-04-01,378.19747063977417,49,409.3220566127851
2013-04-01,504.69892117210804,50,496.2532102958774
2013-04-01,459.90644376200305,51,459.6859022049845
2013-04-01,459.94113971661966,53,513.2794596560034
2013-04-01,237.67885444231058,54,223.14601183161687
2013-04-01,336.37728000849614,55,345.08832053279383
2013-04-01,316.35771419468466,56,339.254120621462
