StateName,Fips,Year,Month,total_number_hpa,datetime,total_number_hpa_seasonality
Montana,30,2005,4,472,2005-04-01,450.63715277777777
Nevada,32,2005,4,4134,2005-04-01,4120.996527777777
New Mexico,35,2005,4,1170,2005-04-01,1146.608878968254
Utah,49,2005,4,2342,2005-04-01,2290.1750992063494
Wyoming,56,2005,4,296,2005-04-01,271.187996031746
Alaska,2,2005,4,434,2005-04-01,401.1780753968254
California,6,2005,4,18202,2005-04-01,17839.720238095237
Hawaii,15,2005,4,822,2005-04-01,859.4871031746031
Oregon,41,2005,4,2886,2005-04-01,2845.65873015873
Washington,53,2005,4,4450,2005-04-01,4275.130952380952
Connecticut,9,2005,5,1107,2005-05-01,1077.3640873015872
Maine,23,2005,5,939,2005-05-01,857.2199900793651
Massachusetts,25,2005,5,2260,2005-05-01,2055.8229166666665
New Hampshire,33,2005,5,882,2005-05-01,836.21875
Rhode Island,44,2005,5,207,2005-05-01,195.4593253968254
Vermont,50,2005,5,447,2005-05-01,415.8000992063492
New Jersey,34,2005,5,3030,2005-05-01,2730.1316964285716
New York,36,2005,5,5500,2005-05-01,4627.689484126984
Pennsylvania,42,2005,5,3920,2005-05-01,3683.128472222222
Illinois,17,2005,5,6286,2005-05-01,5984.064484126984
Indiana,18,2005,5,3652,2005-05-01,3377.6639384920636
Michigan,26,2005,5,4867,2005-05-01,4444.100942460317
Ohio,39,2005,5,5134,2005-05-01,4822.4692460317465
Wisconsin,55,2005,5,3754,2005-05-01,3357.5721726190477
Iowa,19,2005,5,1521,2005-05-01,1369.624751984127
Kansas,20,2005,5,1164,2005-05-01,1167.7070932539682
Minnesota,27,2005,5,3854,2005-05-01,3451.331597222222
Missouri,29,2005,5,2662,2005-05-01,2499.800347222222
Nebraska,31,2005,5,943,2005-05-01,836.0917658730159
North Dakota,38,2005,5,539,2005-05-01,344.7574404761904
South Dakota,46,2005,5,539,2005-05-01,420.6460813492063
Delaware,10,2005,5,726,2005-05-01,663.7001488095239
District of Columbia,11,2005,5,374,2005-05-01,355.4327876984127
Florida,12,2005,5,22529,2005-05-01,22249.541666666668
Georgia,13,2005,5,10537,2005-05-01,9951.818700396825
Maryland,24,2005,5,2901,2005-05-01,2587.2576884920636
North Carolina,37,2005,5,8469,2005-05-01,7822.319940476191
South Carolina,45,2005,5,4351,2005-05-01,3977.4523809523807
Virginia,51,2005,5,5261,2005-05-01,5098.411458333333
West Virginia,54,2005,5,485,2005-05-01,455.20709325396825
Alabama,1,2005,5,3697,2005-05-01,3628.592509920635
Kentucky,21,2005,5,2060,2005-05-01,1926.3246527777778
Mississippi,28,2005,5,1165,2005-05-01,1037.8380456349207
Tennessee,47,2005,5,3716,2005-05-01,3419.1200396825398
Arkansas,5,2005,5,1283,2005-05-01,1197.4459325396826
Louisiana,22,2005,5,1905,2005-05-01,1779.5059523809525
Oklahoma,40,2005,5,1407,2005-05-01,1224.4737103174602
Texas,48,2005,5,17325,2005-05-01,16205.40128968254
Arizona,4,2005,5,7576,2005-05-01,7160.118055555556
Colorado,8,2005,5,3789,2005-05-01,3665.8968253968255
Idaho,16,2005,5,2036,2005-05-01,1803.267857142857
Montana,30,2005,5,560,2005-05-01,518.577628968254
Nevada,32,2005,5,4172,2005-05-01,3932.1750992063494
New Mexico,35,2005,5,1359,2005-05-01,1286.141617063492
Utah,49,2005,5,2557,2005-05-01,2362.6304563492063
Wyoming,56,2005,5,316,2005-05-01,265.9320436507937
Alaska,2,2005,5,302,2005-05-01,232.7733134920635
California,6,2005,5,17990,2005-05-01,16943.79761904762
Hawaii,15,2005,5,820,2005-05-01,805.2668650793651
Oregon,41,2005,5,2724,2005-05-01,2531.0545634920636
Washington,53,2005,5,4284,2005-05-01,3882.589285714286
Connecticut,9,2005,6,1192,2005-06-01,1039.6498015873017
Maine,23,2005,6,1002,2005-06-01,882.3241567460317
Massachusetts,25,2005,6,2635,2005-06-01,2312.1711309523807
New Hampshire,33,2005,6,740,2005-06-01,660.1681547619048
Rhode Island,44,2005,6,277,2005-06-01,268.3878968253968
Vermont,50,2005,6,337,2005-06-01,298.3774801587302
New Jersey,34,2005,6,4166,2005-06-01,3625.619791666667
New York,36,2005,6,7136,2005-06-01,4282.98115079365
Pennsylvania,42,2005,6,4732,2005-06-01,4301.818948412699
Illinois,17,2005,6,6021,2005-06-01,5790.897817460317
Indiana,18,2005,6,3640,2005-06-01,3306.7442956349205
Michigan,26,2005,6,4677,2005-06-01,4351.407490079365
Ohio,39,2005,6,5734,2005-06-01,5475.993055555556
Wisconsin,55,2005,6,3985,2005-06-01,3722.950148809524
Iowa,19,2005,6,1580,2005-06-01,1386.5592757936508
Kansas,20,2005,6,1271,2005-06-01,1227.4481646825398
Minnesota,27,2005,6,3830,2005-06-01,3552.38814484127
Missouri,29,2005,6,2881,2005-06-01,2697.8539186507937
Nebraska,31,2005,6,1078,2005-06-01,978.2911706349206
North Dakota,38,2005,6,342,2005-06-01,199.44791666666666
South Dakota,46,2005,6,492,2005-06-01,431.80084325396825
