region,sub_region,StateName,Fips,Year,Month,total_number_hpa
North East,New England,Rhode Island,44,2005,6,277
North East,New England,Vermont,50,2005,6,337
North East,mid atlantic,New Jersey,34,2005,6,4166
North East,mid atlantic,New York,36,2005,6,7136
North East,mid atlantic,Pennsylvania,42,2005,6,4732
Midwest,East North Central,Illinois,17,2005,6,6021
Midwest,East North Central,Indiana,18,2005,6,3640
Midwest,East North Central,Michigan,26,2005,6,4677
Midwest,East North Central,Ohio,39,2005,6,5734
Midwest,East North Central,Wisconsin,55,2005,6,3985
Midwest,West North Central,Iowa,19,2005,6,1580
Midwest,West North Central,Kansas,20,2005,6,1271
Midwest,West North Central,Minnesota,27,2005,6,3830
Midwest,West North Central,Missouri,29,2005,6,2881
Midwest,West North Central,Nebraska,31,2005,6,1078
Midwest,West North Central,North Dakota,38,2005,6,342
Midwest,West North Central,South Dakota,46,2005,6,492
South,South Atlantic,Delaware,10,2005,6,911
South,South Atlantic,District of Columbia,11,2005,6,311
South,South Atlantic,Florida,12,2005,6,26561
South,South Atlantic,Georgia,13,2005,6,8777
South,South Atlantic,Maryland,24,2005,6,3310
South,South Atlantic,North Carolina,37,2005,6,9163
South,South Atlantic,South Carolina,45,2005,6,5663
South,South Atlantic,Virginia,51,2005,6,7165
South,South Atlantic,West Virginia,54,2005,6,591
South,East South Central,Alabama,1,2005,6,2207
South,East South Central,Kentucky,21,2005,6,2011
South,East South Central,Mississippi,28,2005,6,1207
South,East South Central,Tennessee,47,2005,6,4553
South,West South Central,Arkansas,5,2005,6,1247
South,West South Central,Louisiana,22,2005,6,2027
South,West South Central,Oklahoma,40,2005,6,1735
South,West South Central,Texas,48,2005,6,18544
West,Mountain,Arizona,4,2005,6,8737
West,Mountain,Colorado,8,2005,6,4359
West,Mountain,Idaho,16,2005,6,2048
West,Mountain,Montana,30,2005,6,393
West,Mountain,Nevada,32,2005,6,5509
West,Mountain,New Mexico,35,2005,6,1347
West,Mountain,Utah,49,2005,6,2585
West,Mountain,Wyoming,56,2005,6,305
West,Pacific,Alaska,2,2005,6,357
West,Pacific,California,6,2005,6,19869
West,Pacific,Hawaii,15,2005,6,841
West,Pacific,Oregon,41,2005,6,2826
West,Pacific,Washington,53,2005,6,5041
North East,New England,Connecticut,9,2005,7,983
North East,New England,Maine,23,2005,7,793
North East,New England,Massachusetts,25,2005,7,2270
North East,New England,New Hampshire,33,2005,7,626
North East,New England,Rhode Island,44,2005,7,238
North East,New England,Vermont,50,2005,7,286
North East,mid atlantic,New Jersey,34,2005,7,3000
North East,mid atlantic,New York,36,2005,7,5270
North East,mid atlantic,Pennsylvania,42,2005,7,4511
Midwest,East North Central,Illinois,17,2005,7,6134
Midwest,East North Central,Indiana,18,2005,7,3207
Midwest,East North Central,Michigan,26,2005,7,4352
Midwest,East North Central,Ohio,39,2005,7,5378
Midwest,East North Central,Wisconsin,55,2005,7,3270
Midwest,West North Central,Iowa,19,2005,7,1609
Midwest,West North Central,Kansas,20,2005,7,1367
Midwest,West North Central,Minnesota,27,2005,7,3621
Midwest,West North Central,Missouri,29,2005,7,2619
Midwest,West North Central,Nebraska,31,2005,7,1017
Midwest,West North Central,North Dakota,38,2005,7,228
Midwest,West North Central,South Dakota,46,2005,7,510
South,South Atlantic,Delaware,10,2005,7,683
South,South Atlantic,District of Columbia,11,2005,7,147
South,South Atlantic,Florida,12,2005,7,23529
South,South Atlantic,Georgia,13,2005,7,7878
South,South Atlantic,Maryland,24,2005,7,2062
South,South Atlantic,North Carolina,37,2005,7,8136
South,South Atlantic,South Carolina,45,2005,7,4010
South,South Atlantic,Virginia,51,2005,7,5208
South,South Atlantic,West Virginia,54,2005,7,450
South,East South Central,Alabama,1,2005,7,2663
South,East South Central,Kentucky,21,2005,7,1846
South,East South Central,Mississippi,28,2005,7,995
South,East South Central,Tennessee,47,2005,7,3715
South,West South Central,Arkansas,5,2005,7,1444
South,West South Central,Louisiana,22,2005,7,1827
South,West South Central,Oklahoma,40,2005,7,1398
South,West South Central,Texas,48,2005,7,18154
West,Mountain,Arizona,4,2005,7,7390
West,Mountain,Colorado,8,2005,7,4233
West,Mountain,Idaho,16,2005,7,1934
West,Mountain,Montana,30,2005,7,472
West,Mountain,Nevada,32,2005,7,4256
West,Mountain,New Mexico,35,2005,7,1139
West,Mountain,Utah,49,2005,7,2104
West,Mountain,Wyoming,56,2005,7,281
West,Pacific,Alaska,2,2005,7,245
West,Pacific,California,6,2005,7,17048
West,Pacific,Hawaii,15,2005,7,589
West,Pacific,Oregon,41,2005,7,2712
West,Pacific,Washington,53,2005,7,5079
North East,New England,Connecticut,9,2005,8,1055
North East,New England,Maine,23,2005,8,921
North East,New England,Massachusetts,25,2005,8,1959
North East,New England,New Hampshire,33,2005,8,788
North East,New England,Rhode Island,44,2005,8,209
North East,New England,Vermont,50,2005,8,324
North East,mid atlantic,New Jersey,34,2005,8,3455
North East,mid atlantic,New York,36,2005,8,5093
North East,mid atlantic,Pennsylvania,42,2005,8,4193
Midwest,East North Central,Illinois,17,2005,8,6891
Midwest,East North Central,Indiana,18,2005,8,3942
Midwest,East North Central,Michigan,26,2005,8,4685
Midwest,East North Central,Ohio,39,2005,8,5533
Midwest,East North Central,Wisconsin,55,2005,8,3391
Midwest,West North Central,Iowa,19,2005,8,1502
Midwest,West North Central,Kansas,20,2005,8,1172
Midwest,West North Central,Minnesota,27,2005,8,3293
Midwest,West North Central,Missouri,29,2005,8,2941
Midwest,West North Central,Nebraska,31,2005,8,1018
Midwest,West North Central,North Dakota,38,2005,8,362
Midwest,West North Central,South Dakota,46,2005,8,468
South,South Atlantic,Delaware,10,2005,8,765
South,South Atlantic,District of Columbia,11,2005,8,13
South,South Atlantic,Florida,12,2005,8,26831
South,South Atlantic,Georgia,13,2005,8,10724
South,South Atlantic,Maryland,24,2005,8,3182
South,South Atlantic,North Carolina,37,2005,8,9413
South,South Atlantic,South Carolina,45,2005,8,4855
South,South Atlantic,Virginia,51,2005,8,5685
South,South Atlantic,West Virginia,54,2005,8,560
South,East South Central,Alabama,1,2005,8,2471
South,East South Central,Kentucky,21,2005,8,1671
South,East South Central,Mississippi,28,2005,8,1315
South,East South Central,Tennessee,47,2005,8,4850
South,West South Central,Arkansas,5,2005,8,1495
South,West South Central,Louisiana,22,2005,8,2006
South,West South Central,Oklahoma,40,2005,8,1658
South,West South Central,Texas,48,2005,8,20567
West,Mountain,Arizona,4,2005,8,8444
West,Mountain,Colorado,8,2005,8,3956
West,Mountain,Idaho,16,2005,8,2337
West,Mountain,Montana,30,2005,8,583
West,Mountain,Nevada,32,2005,8,4569
West,Mountain,New Mexico,35,2005,8,1203
West,Mountain,Utah,49,2005,8,2812
West,Mountain,Wyoming,56,2005,8,303
West,Pacific,Alaska,2,2005,8,248
West,Pacific,California,6,2005,8,17076
West,Pacific,Hawaii,15,2005,8,858
West,Pacific,Oregon,41,2005,8,2959
West,Pacific,Washington,53,2005,8,4575
North East,New England,Connecticut,9,2005,9,1151
North East,New England,Maine,23,2005,9,962
North East,New England,Massachusetts,25,2005,9,1776
North East,New England,New Hampshire,33,2005,9,756
North East,New England,Rhode Island,44,2005,9,337
North East,New England,Vermont,50,2005,9,339
North East,mid atlantic,New Jersey,34,2005,9,2851
North East,mid atlantic,New York,36,2005,9,6012
North East,mid atlantic,Pennsylvania,42,2005,9,4177
Midwest,East North Central,Illinois,17,2005,9,6439
Midwest,East North Central,Indiana,18,2005,9,3167
Midwest,East North Central,Michigan,26,2005,9,4100
Midwest,East North Central,Ohio,39,2005,9,5279
Midwest,East North Central,Wisconsin,55,2005,9,3685
Midwest,West North Central,Iowa,19,2005,9,1742
Midwest,West North Central,Kansas,20,2005,9,1203
Midwest,West North Central,Minnesota,27,2005,9,3574
