Fips,Month,Unemployment Rate,Year
8,8,7.1,2020
8,9,7.0,2020
8,10,6.9,2020
8,11,6.9,2020
8,12,6.9,2020
8,1,6.6,2021
8,2,6.4,2021
8,3,6.4,2021
8,4,6.4,2021
8,5,6.2,2021
8,6,6.2,2021
8,7,6.1,2021
8,8,5.9,2021
8,9,5.6,2021
8,10,5.4,2021
9,1,2.2,2000
9,2,2.2,2000
9,3,2.1,2000
9,4,2.1,2000
9,5,2.1,2000
9,6,2.1,2000
9,7,2.0,2000
9,8,2.0,2000
9,9,2.1,2000
9,10,2.1,2000
9,11,2.1,2000
9,12,2.2,2000
9,1,2.3,2001
9,2,2.4,2001
9,3,2.5,2001
9,4,2.6,2001
9,5,2.7,2001
9,6,2.8,2001
9,7,2.9,2001
9,8,3.0,2001
9,9,3.1,2001
9,10,3.3,2001
9,11,3.4,2001
9,12,3.5,2001
9,1,3.6,2002
9,2,3.8,2002
9,3,3.9,2002
9,4,4.1,2002
9,5,4.2,2002
9,6,4.3,2002
9,7,4.5,2002
9,8,4.6,2002
9,9,4.8,2002
9,10,4.9,2002
9,11,5.0,2002
9,12,5.1,2002
9,1,5.2,2003
9,2,5.3,2003
9,3,5.4,2003
9,4,5.5,2003
9,5,5.5,2003
9,6,5.6,2003
9,7,5.6,2003
9,8,5.6,2003
9,9,5.5,2003
9,10,5.5,2003
9,11,5.4,2003
9,12,5.3,2003
9,1,5.3,2004
9,2,5.3,2004
9,3,5.2,2004
9,4,5.2,2004
9,5,5.2,2004
9,6,5.1,2004
9,7,5.1,2004
9,8,5.0,2004
9,9,5.0,2004
9,10,4.9,2004
9,11,4.9,2004
9,12,4.9,2004
9,1,4.9,2005
9,2,4.9,2005
9,3,4.9,2005
9,4,4.9,2005
9,5,4.8,2005
9,6,4.8,2005
9,7,4.8,2005
9,8,4.8,2005
9,9,4.8,2005
9,10,4.7,2005
9,11,4.7,2005
9,12,4.6,2005
9,1,4.6,2006
9,2,4.5,2006
9,3,4.5,2006
9,4,4.4,2006
9,5,4.4,2006
9,6,4.4,2006
9,7,4.4,2006
9,8,4.4,2006
9,9,4.4,2006
9,10,4.4,2006
9,11,4.4,2006
9,12,4.3,2006
9,1,4.3,2007
9,2,4.3,2007
9,3,4.3,2007
9,4,4.3,2007
9,5,4.3,2007
9,6,4.4,2007
9,7,4.4,2007
9,8,4.5,2007
9,9,4.6,2007
9,10,4.6,2007
9,11,4.7,2007
9,12,4.7,2007
9,1,4.8,2008
9,2,4.9,2008
9,3,5.0,2008
9,4,5.1,2008
9,5,5.3,2008
9,6,5.5,2008
9,7,5.7,2008
9,8,5.9,2008
9,9,6.0,2008
9,10,6.3,2008
9,11,6.5,2008
9,12,6.8,2008
9,1,7.1,2009
9,2,7.4,2009
9,3,7.7,2009
9,4,7.9,2009
9,5,8.1,2009
9,6,8.3,2009
9,7,8.4,2009
9,8,8.6,2009
9,9,8.8,2009
9,10,9.0,2009
9,11,9.2,2009
9,12,9.4,2009
9,1,9.5,2010
9,2,9.6,2010
9,3,9.7,2010
9,4,9.6,2010
9,5,9.6,2010
9,6,9.5,2010
9,7,9.5,2010
9,8,9.5,2010
9,9,9.5,2010
9,10,9.6,2010
9,11,9.6,2010
9,12,9.5,2010
9,1,9.4,2011
9,2,9.4,2011
9,3,9.3,2011
9,4,9.2,2011
9,5,9.2,2011
9,6,9.1,2011
9,7,9.0,2011
9,8,9.0,2011
9,9,8.8,2011
9,10,8.7,2011
9,11,8.6,2011
9,12,8.5,2011
9,1,8.4,2012
9,2,8.3,2012
9,3,8.3,2012
9,4,8.4,2012
9,5,8.4,2012
9,6,8.4,2012
9,7,8.4,2012
9,8,8.4,2012
9,9,8.4,2012
9,10,8.3,2012
9,11,8.3,2012
9,12,8.3,2012
9,1,8.3,2013
9,2,8.3,2013
9,3,8.2,2013
9,4,8.2,2013
9,5,8.1,2013
9,6,8.1,2013
9,7,8.0,2013
9,8,7.9,2013
9,9,7.8,2013
9,10,7.6,2013
9,11,7.5,2013
9,12,7.4,2013
9,1,7.2,2014
9,2,7.1,2014
9,3,6.9,2014
9,4,6.8,2014
9,5,6.7,2014
9,6,6.6,2014
9,7,6.6,2014
9,8,6.5,2014
9,9,6.4,2014
9,10,6.3,2014
9,11,6.2,2014
9,12,6.1,2014
9,1,6.0,2015
9,2,5.9,2015
9,3,5.8,2015
9,4,5.8,2015
9,5,5.7,2015
9,6,5.6,2015
9,7,5.6,2015
9,8,5.5,2015
9,9,5.4,2015
9,10,5.4,2015
9,11,5.4,2015
9,12,5.3,2015
9,1,5.2,2016
9,2,5.2,2016
9,3,5.1,2016
9,4,5.0,2016
9,5,4.9,2016
9,6,4.9,2016
9,7,4.8,2016
9,8,4.7,2016
9,9,4.7,2016
9,10,4.7,2016
9,11,4.6,2016
9,12,4.6,2016
9,1,4.6,2017
9,2,4.5,2017
9,3,4.5,2017
9,4,4.5,2017
9,5,4.4,2017
9,6,4.4,2017
