HPI,Fips,Year,Month
478.73,11,2004,10
500.43,11,2005,1
529.87,11,2005,4
561.22,11,2005,7
589.46,11,2005,10
598.52,11,2006,1
606.53,11,2006,4
612.45,11,2006,7
622.55,11,2006,10
628.27,11,2007,1
627.56,11,2007,4
629.15,11,2007,7
621.85,11,2007,10
609.53,11,2008,1
593.78,11,2008,4
579.8,11,2008,7
573.42,11,2008,10
575.72,11,2009,1
558.42,11,2009,4
553.31,11,2009,7
560.71,11,2009,10
554.98,11,2010,1
557.04,11,2010,4
565.89,11,2010,7
565.21,11,2010,10
557.62,11,2011,1
565.78,11,2011,4
567.87,11,2011,7
574.6,11,2011,10
578.42,11,2012,1
582.06,11,2012,4
591.44,11,2012,7
603.0,11,2012,10
612.93,11,2013,1
631.16,11,2013,4
652.39,11,2013,7
654.64,11,2013,10
669.74,11,2014,1
685.1,11,2014,4
692.93,11,2014,7
708.17,11,2014,10
714.67,11,2015,1
726.2,11,2015,4
743.67,11,2015,7
758.82,11,2015,10
763.87,11,2016,1
781.46,11,2016,4
786.08,11,2016,7
800.32,11,2016,10
798.79,11,2017,1
817.21,11,2017,4
829.55,11,2017,7
834.49,11,2017,10
847.01,11,2018,1
858.54,11,2018,4
862.93,11,2018,7
875.38,11,2018,10
880.12,11,2019,1
887.19,11,2019,4
900.92,11,2019,7
907.38,11,2019,10
913.29,11,2020,1
915.8,11,2020,4
926.67,11,2020,7
947.24,11,2020,10
954.97,11,2021,1
993.85,11,2021,4
261.52,10,2000,1
266.1,10,2000,4
271.27,10,2000,7
274.76,10,2000,10
280.68,10,2001,1
285.39,10,2001,4
291.0,10,2001,7
295.05,10,2001,10
300.08,10,2002,1
307.9,10,2002,4
315.7,10,2002,7
320.82,10,2002,10
325.49,10,2003,1
332.42,10,2003,4
340.05,10,2003,7
352.96,10,2003,10
364.11,10,2004,1
372.11,10,2004,4
394.42,10,2004,7
406.54,10,2004,10
418.01,10,2005,1
435.65,10,2005,4
455.07,10,2005,7
464.73,10,2005,10
474.14,10,2006,1
483.19,10,2006,4
487.81,10,2006,7
496.78,10,2006,10
497.09,10,2007,1
500.74,10,2007,4
495.7,10,2007,7
496.32,10,2007,10
493.02,10,2008,1
486.21,10,2008,4
475.08,10,2008,7
469.56,10,2008,10
472.09,10,2009,1
457.97,10,2009,4
446.97,10,2009,7
443.19,10,2009,10
440.07,10,2010,1
435.48,10,2010,4
435.29,10,2010,7
431.78,10,2010,10
421.03,10,2011,1
409.19,10,2011,4
405.27,10,2011,7
410.18,10,2011,10
407.11,10,2012,1
398.56,10,2012,4
401.63,10,2012,7
404.38,10,2012,10
404.43,10,2013,1
404.74,10,2013,4
406.49,10,2013,7
409.81,10,2013,10
408.19,10,2014,1
411.88,10,2014,4
417.1,10,2014,7
415.88,10,2014,10
422.28,10,2015,1
421.58,10,2015,4
425.23,10,2015,7
426.32,10,2015,10
428.24,10,2016,1
431.5,10,2016,4
436.94,10,2016,7
439.43,10,2016,10
439.17,10,2017,1
440.91,10,2017,4
442.2,10,2017,7
445.81,10,2017,10
452.97,10,2018,1
456.07,10,2018,4
457.89,10,2018,7
461.42,10,2018,10
465.27,10,2019,1
471.91,10,2019,4
477.52,10,2019,7
481.0,10,2019,10
486.69,10,2020,1
490.92,10,2020,4
501.29,10,2020,7
509.19,10,2020,10
523.62,10,2021,1
544.53,10,2021,4
200.84,12,2000,1
204.42,12,2000,4
208.71,12,2000,7
213.1,12,2000,10
219.23,12,2001,1
224.77,12,2001,4
229.92,12,2001,7
235.47,12,2001,10
240.17,12,2002,1
247.48,12,2002,4
254.48,12,2002,7
260.23,12,2002,10
265.79,12,2003,1
272.22,12,2003,4
278.75,12,2003,7
291.74,12,2003,10
300.6,12,2004,1
314.73,12,2004,4
334.43,12,2004,7
349.69,12,2004,10
368.41,12,2005,1
395.85,12,2005,4
423.32,12,2005,7
445.68,12,2005,10
463.03,12,2006,1
472.9,12,2006,4
476.36,12,2006,7
479.68,12,2006,10
476.67,12,2007,1
470.43,12,2007,4
453.64,12,2007,7
442.2,12,2007,10
424.5,12,2008,1
395.3,12,2008,4
363.2,12,2008,7
344.75,12,2008,10
350.63,12,2009,1
332.47,12,2009,4
313.35,12,2009,7
305.53,12,2009,10
299.68,12,2010,1
291.39,12,2010,4
294.82,12,2010,7
289.45,12,2010,10
275.7,12,2011,1
267.36,12,2011,4
270.21,12,2011,7
272.54,12,2011,10
267.12,12,2012,1
265.11,12,2012,4
271.58,12,2012,7
275.15,12,2012,10
279.03,12,2013,1
288.36,12,2013,4
295.79,12,2013,7
303.44,12,2013,10
308.04,12,2014,1
316.17,12,2014,4
323.01,12,2014,7
328.86,12,2014,10
336.26,12,2015,1
344.5,12,2015,4
353.0,12,2015,7
360.15,12,2015,10
366.67,12,2016,1
376.11,12,2016,4
386.55,12,2016,7
392.93,12,2016,10
400.41,12,2017,1
410.39,12,2017,4
417.5,12,2017,7
425.57,12,2017,10
434.09,12,2018,1
442.29,12,2018,4
449.37,12,2018,7
452.76,12,2018,10
460.07,12,2019,1
465.93,12,2019,4
473.66,12,2019,7
479.78,12,2019,10
486.85,12,2020,1
493.51,12,2020,4
502.18,12,2020,7
514.74,12,2020,10
529.88,12,2021,1
562.5,12,2021,4
229.94,13,2000,1
233.66,13,2000,4
237.48,13,2000,7
241.33,13,2000,10
248.13,13,2001,1
251.17,13,2001,4
254.39,13,2001,7
257.69,13,2001,10
259.9,13,2002,1
261.86,13,2002,4
266.16,13,2002,7
269.22,13,2002,10
271.3,13,2003,1
273.12,13,2003,4
274.81,13,2003,7
278.37,13,2003,10
282.2,13,2004,1
284.11,13,2004,4
287.99,13,2004,7
292.58,13,2004,10
296.4,13,2005,1
300.29,13,2005,4
305.3,13,2005,7
309.31,13,2005,10
312.52,13,2006,1
314.39,13,2006,4
316.91,13,2006,7
322.83,13,2006,10
325.48,13,2007,1
326.51,13,2007,4
324.48,13,2007,7
326.65,13,2007,10
327.0,13,2008,1
321.96,13,2008,4
313.19,13,2008,7
311.87,13,2008,10
318.62,13,2009,1
308.88,13,2009,4
296.2,13,2009,7
291.9,13,2009,10
286.36,13,2010,1
280.24,13,2010,4
283.02,13,2010,7
279.14,13,2010,10
268.9,13,2011,1
257.44,13,2011,4
258.95,13,2011,7
258.38,13,2011,10
251.77,13,2012,1
247.47,13,2012,4
250.5,13,2012,7
253.46,13,2012,10
253.81,13,2013,1
259.79,13,2013,4
263.41,13,2013,7
266.72,13,2013,10
270.86,13,2014,1
277.16,13,2014,4
282.29,13,2014,7
284.43,13,2014,10
288.54,13,2015,1
295.5,13,2015,4
299.58,13,2015,7
301.9,13,2015,10
304.8,13,2016,1
313.28,13,2016,4
318.92,13,2016,7
321.55,13,2016,10
324.04,13,2017,1
332.59,13,2017,4
338.06,13,2017,7
341.3,13,2017,10
349.58,13,2018,1
357.77,13,2018,4
363.34,13,2018,7
365.38,13,2018,10
370.97,13,2019,1
378.3,13,2019,4
383.65,13,2019,7
387.47,13,2019,10
393.29,13,2020,1
397.35,13,2020,4
405.26,13,2020,7
413.52,13,2020,10
424.21,13,2021,1
447.24,13,2021,4
231.31,15,2000,1
231.02,15,2000,4
234.0,15,2000,7
239.64,15,2000,10
247.36,15,2001,1
251.11,15,2001,4
255.42,15,2001,7
259.29,15,2001,10
263.38,15,2002,1
269.19,15,2002,4
277.53,15,2002,7
281.14,15,2002,10
289.15,15,2003,1
296.14,15,2003,4
304.6,15,2003,7
321.86,15,2003,10
336.94,15,2004,1
356.24,15,2004,4
390.42,15,2004,7
404.42,15,2004,10
423.76,15,2005,1
448.58,15,2005,4
476.72,15,2005,7
503.21,15,2005,10
521.79,15,2006,1
526.28,15,2006,4
536.17,15,2006,7
534.22,15,2006,10
