HPI,Fips,datetime,HPI_inf
280.91,18,2017-07-01,291.4941739786398
283.3,18,2017-10-01,292.51669333333336
287.82,18,2018-01-01,295.16409280498476
294.9,18,2018-04-01,299.93915219345524
298.32,18,2018-07-01,300.7271055432989
300.6,18,2018-10-01,301.8612199732584
304.72,18,2019-01-01,304.6921109777491
310.25,18,2019-04-01,307.68715209389154
314.89,18,2019-07-01,309.730268342196
318.23,18,2019-10-01,310.4441484283916
186.04,19,2000-01-01,292.912134939759
188.53,19,2000-04-01,293.4735008933889
191.02,19,2000-07-01,292.6435357561548
192.44,19,2000-10-01,292.9302178217822
196.53,19,2001-01-01,295.03205514072374
198.64,19,2001-04-01,295.98945496009117
200.0,19,2001-07-01,294.3243243243243
202.46,19,2001-10-01,299.4620577249576
204.23,19,2002-01-01,300.5492837837838
205.22,19,2002-04-01,298.80946629526466
207.8,19,2002-07-01,299.72741721854305
209.56,19,2002-10-01,301.93275413450937
210.89,19,2003-01-01,302.3489325287987
212.49,19,2003-04-01,301.6642390005432
215.12,19,2003-07-01,302.44089940828405
218.51,19,2003-10-01,307.53782229402265
220.12,19,2004-01-01,308.8060289855072
222.47,19,2004-04-01,308.6239872611465
225.62,19,2004-07-01,308.89493556836044
228.12,19,2004-10-01,312.1541528795812
230.69,19,2005-01-01,314.35421480709067
233.46,19,2005-04-01,313.874
237.2,19,2005-07-01,315.33363173957275
238.99,19,2005-10-01,314.83077822580645
239.01,19,2006-01-01,312.33826799999997
240.47,19,2006-04-01,311.59761626177493
241.89,19,2006-07-01,308.84401758671225
243.82,19,2006-10-01,311.76514285714285
244.7,19,2007-01-01,310.3742750792257
246.81,19,2007-04-01,309.3217237857304
246.71,19,2007-07-01,305.1793568906601
248.07,19,2007-10-01,307.7136567932758
249.46,19,2008-01-01,307.18826256572623
248.15,19,2008-04-01,301.8124808041324
246.15,19,2008-07-01,292.9455124994308
247.3,19,2008-10-01,297.32926677799094
249.67,19,2009-01-01,300.80833825047944
248.1,19,2009-04-01,298.64417895599786
246.66,19,2009-07-01,295.60518880253113
246.03,19,2009-10-01,296.85521023766
244.15,19,2010-01-01,295.5241125390761
244.98,19,2010-04-01,296.70327250484246
247.28,19,2010-07-01,297.7256850135437
247.24,19,2010-10-01,299.0219639055993
244.95,19,2011-01-01,295.3789211909255
243.44,19,2011-04-01,291.9925948022267
245.79,19,2011-07-01,291.6935676338374
246.83,19,2011-10-01,293.050217590784
246.78,19,2012-01-01,292.1057983288422
246.76,19,2012-04-01,290.9266137981433
248.64,19,2012-07-01,290.99818373963353
249.72,19,2012-10-01,291.7500455951508
250.12,19,2013-01-01,290.81081542773256
251.85,19,2013-04-01,291.27253900684116
252.78,19,2013-07-01,289.291166244844
253.07,19,2013-10-01,289.6382725672397
252.81,19,2014-01-01,286.9606941838649
256.28,19,2014-04-01,289.1002196910514
258.93,19,2014-07-01,288.6190203646444
260.11,19,2014-10-01,289.98502606277253
261.18,19,2015-01-01,289.8783565832219
