"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-06",98.34375,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-07",98.51761,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.63045,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-09",98.69556,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-10",98.7832,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-11",99.11314,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-12",99.50964,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-01",99.79707,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-02",100.0663,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-03",100.5131,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-04",101.0432,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-05",101.4248,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-06",101.5314,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-07",101.3072,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-08",101.0712,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-09",100.8261,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-10",100.4309,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2000-01",103.1282,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2000-02",103.2052,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2000-03",103.207,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2000-04",103.181,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2000-05",103.1811,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2000-06",103.2403,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2000-07",103.3176,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2000-08",103.3506,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2000-09",103.2906,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2000-10",103.1814,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2000-11",103.0763,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2000-12",103.0043,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2001-01",102.932,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2001-02",102.8015,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2001-03",102.569,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2001-04",102.3007,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2001-05",102.0735,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2001-06",101.911,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2001-07",101.6781,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2001-08",101.1605,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2001-09",100.2137,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2001-10",99.1974,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2001-11",98.63758,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2001-12",98.95818,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2002-01",99.75623,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2002-02",100.5305,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2002-03",100.9326,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2002-04",101.0421,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2002-05",100.9734,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2002-06",100.7753,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2002-07",100.5087,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2002-08",100.1984,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2002-09",99.85492,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2002-10",99.53799,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2002-11",99.33747,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2002-12",99.32702,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2003-01",99.40153,
