Unemployment Rate,total_number_hpa,total_number_hpa_seasonality,Population,Apartment_seasonality,Construction_seasonality,Home_seasonality,Investment_seasonality,Mortgage_seasonality,Realtor_seasonality,Real Estate_seasonality,Real Estate Agent_seasonality,Real Estate Listings_seasonality,Rent_seasonality,zillow_seasonality,Fips,datetime,HPI,HPI_inf,IntRate,CCI
15.899999999999999,15927,17211.322916666668,27304056.761643834,212.5466765873016,95.05520833333334,187.11274801587302,57.60431547619047,64.93244047619048,201.56145833333332,139.0611111111111,79.56428571428572,62.40788690476191,205.25451388888888,82.39136904761905,37,2008-01-01,338.22,416.48847175891905,3.5,98.5033
9.0,707,784.5193452380952,1957618.3287671232,196.11121031746032,85.52420634920634,70.53511904761905,7.250099206349207,-0.032738095238093234,84.53313492063492,73.80858134920635,96.5248015873016,5.522619047619049,125.07232142857143,1.3553571428571405,38,2008-01-01,246.34,303.34625431107594,3.5,98.5033
17.1,6610,7045.699404761905,34496603.43835616,121.60337301587302,48.666964285714286,166.39424603174604,37.48516865079365,45.4812003968254,149.0263392857143,86.76031746031745,30.77698412698413,86.7796626984127,157.62281746031746,55.76185515873016,39,2008-01-01,263.63,324.6373833889297,3.5,98.5033
11.2,2729,3033.7663690476193,10893009.824657533,180.88655753968254,189.11666666666667,167.87633928571427,70.17450396825396,28.21502976190476,164.0263392857143,131.30109126984127,109.93268849206349,42.91795634920635,191.6951884920635,1.981597222222225,40,2008-01-01,203.52,250.61715384180474,3.5,98.5033
15.9,3430,3784.065476190476,11154402.797260273,133.5827876984127,63.733333333333334,201.26622023809523,72.23249007936508,91.50744047619048,112.09756944444445,147.71934523809523,43.01622023809524,11.857638888888888,188.7171130952381,216.50570436507937,41,2008-01-01,454.12,559.2092271159609,3.5,98.5033
14.399999999999999,6230,6505.242559523809,37678565.389041096,158.3877976190476,56.54275793650794,164.77242063492065,61.39141865079365,68.25248015873015,146.4124503968254,127.97867063492063,43.144246031746036,43.6405753968254,151.82733134920633,94.68249007936508,42,2008-01-01,399.58,492.0479674337084,3.5,98.5033
17.1,414,375.36309523809524,3173386.290410959,127.00064484126985,5.670238095238094,105.5781746031746,-5.135069444444447,15.464980158730157,114.42852182539683,80.66522817460317,72.26438492063492,38.24409722222222,138.67514880952382,76.16790674603175,44,2008-01-01,570.02,701.9299824730027,3.5,98.5033
17.9,7350,8201.482142857143,13310823.334246576,198.57524801587303,85.69330357142857,237.44211309523808,81.24935515873017,75.4812003968254,120.95252976190476,154.1173115079365,128.95753968253968,108.45545634920636,194.31954365079366,104.08621031746031,45,2008-01-01,346.1,426.1920054277153,3.5,98.5033
8.3,999,1224.8340773809525,2372727.383561644,133.82331349206348,85.66493055555556,128.9816964285714,99.94216269841269,13.822073412698415,76.13551587301588,71.6548115079365,175.70997023809525,14.296130952380953,180.95709325396825,37.671031746031744,46,2008-01-01,291.32,358.7352066489512,3.5,98.5033
15.3,6793,7425.1547619047615,18505500.312328767,164.55714285714285,100.90352182539682,218.6954365079365,34.118650793650794,60.512748015873015,129.32589285714286,127.80441468253969,71.9297123015873,50.31001984126984,184.1736111111111,13.466617063492063,47,2008-01-01,305.1,375.70407644032343,3.5,98.5033
13.200000000000001,35312,38818.59672619047,71378171.81369863,240.77772817460317,57.70570436507936,177.83120039682538,33.83640873015873,48.6609126984127,154.79573412698414,97.98680555555555,67.75044642857142,49.2,176.31001984126985,87.1015376984127,48,2008-01-01,224.27,276.1689715610336,3.5,98.5033
8.3,2800,3078.4151785714284,7775227.728767123,105.91597222222222,153.53239087301588,192.39122023809523,26.95957341269842,55.40565476190476,109.04325396825396,189.63318452380952,56.96046626984128,14.360565476190477,201.64469246031746,141.09161706349207,49,2008-01-01,382.16,470.59675467857755,3.5,98.5033
