geoName,Real Estate,year
Pennsylvania,50,2005-09-30
Rhode Island,51,2005-09-30
South Carolina,49,2005-09-30
South Dakota,17,2005-09-30
Tennessee,41,2005-09-30
Texas,40,2005-09-30
Utah,76,2005-09-30
Vermont,37,2005-09-30
Virginia,49,2005-09-30
Washington,65,2005-09-30
West Virginia,38,2005-09-30
Wisconsin,28,2005-09-30
Wyoming,66,2005-09-30
Alabama,39,2005-10-31
Alaska,44,2005-10-31
Arizona,63,2005-10-31
Arkansas,66,2005-10-31
California,53,2005-10-31
Colorado,53,2005-10-31
Connecticut,49,2005-10-31
Delaware,7,2005-10-31
District of Columbia,49,2005-10-31
Florida,61,2005-10-31
Georgia,50,2005-10-31
Hawaii,49,2005-10-31
Idaho,57,2005-10-31
Illinois,37,2005-10-31
Indiana,18,2005-10-31
Iowa,23,2005-10-31
Kansas,48,2005-10-31
Kentucky,11,2005-10-31
Louisiana,65,2005-10-31
Maine,27,2005-10-31
Maryland,49,2005-10-31
Massachusetts,35,2005-10-31
Michigan,38,2005-10-31
Minnesota,33,2005-10-31
Mississippi,52,2005-10-31
Missouri,64,2005-10-31
Montana,76,2005-10-31
Nebraska,33,2005-10-31
Nevada,79,2005-10-31
New Hampshire,19,2005-10-31
New Jersey,41,2005-10-31
New Mexico,28,2005-10-31
New York,45,2005-10-31
North Carolina,42,2005-10-31
North Dakota,29,2005-10-31
Ohio,31,2005-10-31
Oklahoma,30,2005-10-31
Oregon,45,2005-10-31
Pennsylvania,45,2005-10-31
Rhode Island,55,2005-10-31
South Carolina,56,2005-10-31
South Dakota,9,2005-10-31
Tennessee,52,2005-10-31
Texas,44,2005-10-31
Utah,49,2005-10-31
Vermont,99,2005-10-31
Virginia,44,2005-10-31
Washington,67,2005-10-31
West Virginia,53,2005-10-31
Wisconsin,28,2005-10-31
Wyoming,100,2005-10-31
Alabama,45,2005-11-30
Alaska,38,2005-11-30
Arizona,62,2005-11-30
Arkansas,37,2005-11-30
California,49,2005-11-30
Colorado,37,2005-11-30
Connecticut,58,2005-11-30
Delaware,39,2005-11-30
District of Columbia,52,2005-11-30
Florida,56,2005-11-30
Georgia,49,2005-11-30
Hawaii,57,2005-11-30
Idaho,64,2005-11-30
Illinois,37,2005-11-30
Indiana,20,2005-11-30
Iowa,12,2005-11-30
Kansas,36,2005-11-30
Kentucky,36,2005-11-30
Louisiana,41,2005-11-30
Maine,19,2005-11-30
Maryland,49,2005-11-30
Massachusetts,41,2005-11-30
Michigan,26,2005-11-30
Minnesota,33,2005-11-30
Mississippi,32,2005-11-30
Missouri,48,2005-11-30
Montana,100,2005-11-30
Nebraska,46,2005-11-30
Nevada,75,2005-11-30
New Hampshire,42,2005-11-30
New Jersey,31,2005-11-30
New Mexico,51,2005-11-30
New York,46,2005-11-30
North Carolina,42,2005-11-30
North Dakota,61,2005-11-30
Ohio,28,2005-11-30
Oklahoma,23,2005-11-30
Oregon,54,2005-11-30
Pennsylvania,37,2005-11-30
Rhode Island,43,2005-11-30
South Carolina,53,2005-11-30
South Dakota,27,2005-11-30
Tennessee,43,2005-11-30
Texas,35,2005-11-30
Utah,61,2005-11-30
Vermont,83,2005-11-30
Virginia,48,2005-11-30
Washington,60,2005-11-30
West Virginia,7,2005-11-30
Wisconsin,35,2005-11-30
Wyoming,54,2005-11-30
Alabama,38,2005-12-31
Alaska,16,2005-12-31
Arizona,52,2005-12-31
Arkansas,53,2005-12-31
California,42,2005-12-31
Colorado,61,2005-12-31
Connecticut,45,2005-12-31
Delaware,21,2005-12-31
District of Columbia,46,2005-12-31
Florida,50,2005-12-31
Georgia,47,2005-12-31
Hawaii,82,2005-12-31
Idaho,85,2005-12-31
Illinois,39,2005-12-31
Indiana,29,2005-12-31
Iowa,15,2005-12-31
Kansas,46,2005-12-31
Kentucky,19,2005-12-31
Louisiana,60,2005-12-31
Maine,25,2005-12-31
Maryland,46,2005-12-31
Massachusetts,42,2005-12-31
Michigan,34,2005-12-31
Minnesota,33,2005-12-31
Mississippi,59,2005-12-31
Missouri,37,2005-12-31
Montana,76,2005-12-31
Nebraska,45,2005-12-31
Nevada,51,2005-12-31
New Hampshire,38,2005-12-31
New Jersey,35,2005-12-31
New Mexico,43,2005-12-31
New York,43,2005-12-31
North Carolina,43,2005-12-31
North Dakota,25,2005-12-31
Ohio,33,2005-12-31
Oklahoma,33,2005-12-31
Oregon,46,2005-12-31
Pennsylvania,42,2005-12-31
Rhode Island,46,2005-12-31
South Carolina,53,2005-12-31
South Dakota,11,2005-12-31
Tennessee,33,2005-12-31
Texas,33,2005-12-31
Utah,49,2005-12-31
Vermont,73,2005-12-31
Virginia,43,2005-12-31
Washington,43,2005-12-31
West Virginia,34,2005-12-31
Wisconsin,25,2005-12-31
Wyoming,100,2005-12-31
Alabama,50,2006-01-31
Alaska,29,2006-01-31
Arizona,51,2006-01-31
Arkansas,53,2006-01-31
California,52,2006-01-31
Colorado,52,2006-01-31
Connecticut,47,2006-01-31
Delaware,30,2006-01-31
District of Columbia,47,2006-01-31
Florida,60,2006-01-31
Georgia,49,2006-01-31
Hawaii,78,2006-01-31
Idaho,66,2006-01-31
Illinois,48,2006-01-31
Indiana,24,2006-01-31
Iowa,24,2006-01-31
Kansas,51,2006-01-31
Kentucky,24,2006-01-31
Louisiana,48,2006-01-31
Maine,37,2006-01-31
Maryland,54,2006-01-31
Massachusetts,43,2006-01-31
Michigan,37,2006-01-31
Minnesota,42,2006-01-31
Mississippi,49,2006-01-31
Missouri,47,2006-01-31
Montana,79,2006-01-31
Nebraska,37,2006-01-31
Nevada,73,2006-01-31
New Hampshire,38,2006-01-31
New Jersey,42,2006-01-31
New Mexico,43,2006-01-31
New York,53,2006-01-31
North Carolina,49,2006-01-31
North Dakota,29,2006-01-31
Ohio,38,2006-01-31
Oklahoma,40,2006-01-31
Oregon,46,2006-01-31
Pennsylvania,52,2006-01-31
Rhode Island,39,2006-01-31
South Carolina,52,2006-01-31
South Dakota,45,2006-01-31
Tennessee,40,2006-01-31
Texas,39,2006-01-31
Utah,72,2006-01-31
Vermont,91,2006-01-31
Virginia,54,2006-01-31
Washington,67,2006-01-31
West Virginia,19,2006-01-31
Wisconsin,21,2006-01-31
Wyoming,100,2006-01-31
Alabama,54,2006-02-28
Alaska,44,2006-02-28
Arizona,65,2006-02-28
Arkansas,62,2006-02-28
California,62,2006-02-28
Colorado,66,2006-02-28
Connecticut,79,2006-02-28
Delaware,31,2006-02-28
District of Columbia,64,2006-02-28
Florida,70,2006-02-28
Georgia,51,2006-02-28
Hawaii,64,2006-02-28
Idaho,81,2006-02-28
Illinois,61,2006-02-28
Indiana,39,2006-02-28
Iowa,23,2006-02-28
Kansas,48,2006-02-28
Kentucky,31,2006-02-28
Louisiana,58,2006-02-28
Maine,54,2006-02-28
Maryland,51,2006-02-28
Massachusetts,51,2006-02-28
Michigan,44,2006-02-28
Minnesota,44,2006-02-28
Mississippi,48,2006-02-28
Missouri,55,2006-02-28
Montana,99,2006-02-28
Nebraska,53,2006-02-28
Nevada,72,2006-02-28
New Hampshire,53,2006-02-28
