geoName,Mortgage,year
Virginia,20,2006-02-28
Washington,44,2006-02-28
West Virginia,0,2006-02-28
Wisconsin,12,2006-02-28
Wyoming,0,2006-02-28
Alabama,18,2006-03-31
Alaska,0,2006-03-31
Arizona,15,2006-03-31
Arkansas,100,2006-03-31
California,23,2006-03-31
Colorado,31,2006-03-31
Connecticut,45,2006-03-31
Delaware,0,2006-03-31
District of Columbia,27,2006-03-31
Florida,11,2006-03-31
Georgia,4,2006-03-31
Hawaii,29,2006-03-31
Idaho,0,2006-03-31
Illinois,22,2006-03-31
Indiana,0,2006-03-31
Iowa,20,2006-03-31
Kansas,0,2006-03-31
Kentucky,26,2006-03-31
Louisiana,19,2006-03-31
Maine,0,2006-03-31
Maryland,0,2006-03-31
Massachusetts,4,2006-03-31
Michigan,22,2006-03-31
Minnesota,30,2006-03-31
Mississippi,0,2006-03-31
Missouri,15,2006-03-31
Montana,0,2006-03-31
Nebraska,26,2006-03-31
Nevada,0,2006-03-31
New Hampshire,0,2006-03-31
New Jersey,24,2006-03-31
New Mexico,70,2006-03-31
New York,13,2006-03-31
North Carolina,42,2006-03-31
North Dakota,0,2006-03-31
Ohio,23,2006-03-31
Oklahoma,19,2006-03-31
Oregon,30,2006-03-31
Pennsylvania,18,2006-03-31
Rhode Island,0,2006-03-31
South Carolina,0,2006-03-31
South Dakota,0,2006-03-31
Tennessee,22,2006-03-31
Texas,7,2006-03-31
Utah,18,2006-03-31
Vermont,99,2006-03-31
Virginia,9,2006-03-31
Washington,15,2006-03-31
West Virginia,0,2006-03-31
Wisconsin,16,2006-03-31
Wyoming,0,2006-03-31
Alabama,0,2006-04-30
Alaska,0,2006-04-30
Arizona,24,2006-04-30
Arkansas,0,2006-04-30
California,35,2006-04-30
Colorado,51,2006-04-30
Connecticut,0,2006-04-30
Delaware,0,2006-04-30
District of Columbia,72,2006-04-30
Florida,28,2006-04-30
Georgia,41,2006-04-30
Hawaii,47,2006-04-30
Idaho,70,2006-04-30
Illinois,36,2006-04-30
Indiana,19,2006-04-30
Iowa,0,2006-04-30
Kansas,30,2006-04-30
Kentucky,0,2006-04-30
Louisiana,0,2006-04-30
Maine,0,2006-04-30
Maryland,49,2006-04-30
Massachusetts,28,2006-04-30
Michigan,18,2006-04-30
Minnesota,12,2006-04-30
Mississippi,0,2006-04-30
Missouri,24,2006-04-30
Montana,0,2006-04-30
Nebraska,0,2006-04-30
Nevada,37,2006-04-30
New Hampshire,46,2006-04-30
New Jersey,15,2006-04-30
New Mexico,59,2006-04-30
New York,35,2006-04-30
North Carolina,29,2006-04-30
North Dakota,0,2006-04-30
Ohio,15,2006-04-30
Oklahoma,100,2006-04-30
Oregon,15,2006-04-30
Pennsylvania,24,2006-04-30
Rhode Island,0,2006-04-30
South Carolina,0,2006-04-30
