geoName,Home,year
Illinois,44,2006-04-30
Indiana,56,2006-04-30
Iowa,51,2006-04-30
Kansas,48,2006-04-30
Kentucky,47,2006-04-30
Louisiana,74,2006-04-30
Maine,52,2006-04-30
Maryland,60,2006-04-30
Massachusetts,41,2006-04-30
Michigan,37,2006-04-30
Minnesota,40,2006-04-30
Mississippi,36,2006-04-30
Missouri,44,2006-04-30
Montana,54,2006-04-30
Nebraska,72,2006-04-30
Nevada,91,2006-04-30
New Hampshire,52,2006-04-30
New Jersey,62,2006-04-30
New Mexico,67,2006-04-30
New York,32,2006-04-30
North Carolina,60,2006-04-30
North Dakota,76,2006-04-30
Ohio,45,2006-04-30
Oklahoma,49,2006-04-30
Oregon,62,2006-04-30
Pennsylvania,31,2006-04-30
Rhode Island,49,2006-04-30
South Carolina,100,2006-04-30
South Dakota,60,2006-04-30
Tennessee,47,2006-04-30
Texas,51,2006-04-30
Utah,89,2006-04-30
Vermont,13,2006-04-30
Virginia,48,2006-04-30
Washington,79,2006-04-30
West Virginia,0,2006-04-30
Wisconsin,58,2006-04-30
Wyoming,54,2006-04-30
Alabama,31,2006-05-31
Alaska,49,2006-05-31
Arizona,51,2006-05-31
Arkansas,60,2006-05-31
California,39,2006-05-31
Colorado,58,2006-05-31
Connecticut,37,2006-05-31
Delaware,100,2006-05-31
District of Columbia,35,2006-05-31
Florida,64,2006-05-31
Georgia,56,2006-05-31
Hawaii,37,2006-05-31
Idaho,74,2006-05-31
Illinois,34,2006-05-31
Indiana,30,2006-05-31
Iowa,48,2006-05-31
Kansas,28,2006-05-31
Kentucky,27,2006-05-31
Louisiana,43,2006-05-31
Maine,21,2006-05-31
Maryland,34,2006-05-31
Massachusetts,15,2006-05-31
Michigan,39,2006-05-31
Minnesota,46,2006-05-31
Mississippi,49,2006-05-31
Missouri,53,2006-05-31
Montana,60,2006-05-31
Nebraska,70,2006-05-31
Nevada,65,2006-05-31
New Hampshire,12,2006-05-31
New Jersey,35,2006-05-31
New Mexico,23,2006-05-31
New York,26,2006-05-31
North Carolina,60,2006-05-31
North Dakota,86,2006-05-31
Ohio,34,2006-05-31
Oklahoma,26,2006-05-31
Oregon,56,2006-05-31
Pennsylvania,34,2006-05-31
Rhode Island,13,2006-05-31
South Carolina,28,2006-05-31
South Dakota,83,2006-05-31
Tennessee,55,2006-05-31
Texas,50,2006-05-31
Utah,47,2006-05-31
Vermont,87,2006-05-31
Virginia,39,2006-05-31
Washington,40,2006-05-31
West Virginia,51,2006-05-31
Wisconsin,34,2006-05-31
Wyoming,23,2006-05-31
Alabama,49,2006-06-30
Alaska,69,2006-06-30
Arizona,69,2006-06-30
Arkansas,100,2006-06-30
California,39,2006-06-30
Colorado,40,2006-06-30
Connecticut,44,2006-06-30
Delaware,44,2006-06-30
District of Columbia,27,2006-06-30
