geoName,Investment,year
Arizona,31,2006-05-31
Arkansas,0,2006-05-31
California,39,2006-05-31
Colorado,66,2006-05-31
Connecticut,31,2006-05-31
Delaware,0,2006-05-31
District of Columbia,12,2006-05-31
Florida,15,2006-05-31
Georgia,17,2006-05-31
Hawaii,0,2006-05-31
Idaho,0,2006-05-31
Illinois,27,2006-05-31
Indiana,18,2006-05-31
Iowa,32,2006-05-31
Kansas,26,2006-05-31
Kentucky,0,2006-05-31
Louisiana,0,2006-05-31
Maine,0,2006-05-31
Maryland,32,2006-05-31
Massachusetts,29,2006-05-31
Michigan,16,2006-05-31
Minnesota,11,2006-05-31
Mississippi,0,2006-05-31
Missouri,10,2006-05-31
Montana,100,2006-05-31
Nebraska,0,2006-05-31
Nevada,31,2006-05-31
New Hampshire,0,2006-05-31
New Jersey,6,2006-05-31
New Mexico,0,2006-05-31
New York,7,2006-05-31
North Carolina,33,2006-05-31
North Dakota,0,2006-05-31
Ohio,7,2006-05-31
Oklahoma,0,2006-05-31
Oregon,13,2006-05-31
Pennsylvania,21,2006-05-31
Rhode Island,0,2006-05-31
South Carolina,0,2006-05-31
South Dakota,0,2006-05-31
Tennessee,46,2006-05-31
Texas,25,2006-05-31
Utah,26,2006-05-31
Vermont,72,2006-05-31
Virginia,20,2006-05-31
Washington,14,2006-05-31
West Virginia,0,2006-05-31
Wisconsin,0,2006-05-31
Wyoming,0,2006-05-31
Alabama,0,2006-06-30
Alaska,100,2006-06-30
Arizona,78,2006-06-30
Arkansas,0,2006-06-30
California,41,2006-06-30
Colorado,28,2006-06-30
Connecticut,84,2006-06-30
Delaware,0,2006-06-30
District of Columbia,31,2006-06-30
Florida,45,2006-06-30
Georgia,15,2006-06-30
Hawaii,51,2006-06-30
Idaho,79,2006-06-30
Illinois,47,2006-06-30
Indiana,24,2006-06-30
Iowa,0,2006-06-30
Kansas,0,2006-06-30
Kentucky,28,2006-06-30
Louisiana,0,2006-06-30
Maine,0,2006-06-30
Maryland,28,2006-06-30
Massachusetts,48,2006-06-30
Michigan,10,2006-06-30
Minnesota,0,2006-06-30
Mississippi,0,2006-06-30
Missouri,54,2006-06-30
Montana,0,2006-06-30
Nebraska,50,2006-06-30
Nevada,0,2006-06-30
New Hampshire,0,2006-06-30
New Jersey,34,2006-06-30
New Mexico,0,2006-06-30
New York,31,2006-06-30
North Carolina,32,2006-06-30
North Dakota,0,2006-06-30
Ohio,17,2006-06-30
Oklahoma,0,2006-06-30
Oregon,18,2006-06-30
Pennsylvania,56,2006-06-30
Rhode Island,0,2006-06-30
South Carolina,0,2006-06-30
South Dakota,0,2006-06-30
Tennessee,39,2006-06-30
Texas,24,2006-06-30
Utah,0,2006-06-30
Vermont,96,2006-06-30
Virginia,27,2006-06-30
Washington,9,2006-06-30
West Virginia,0,2006-06-30
Wisconsin,15,2006-06-30
Wyoming,0,2006-06-30
Alabama,0,2006-07-31
Alaska,0,2006-07-31
Arizona,25,2006-07-31
Arkansas,0,2006-07-31
California,29,2006-07-31
Colorado,9,2006-07-31
Connecticut,27,2006-07-31
Delaware,0,2006-07-31
District of Columbia,20,2006-07-31
Florida,41,2006-07-31
Georgia,28,2006-07-31
Hawaii,0,2006-07-31
Idaho,100,2006-07-31
Illinois,15,2006-07-31
Indiana,0,2006-07-31
Iowa,26,2006-07-31
Kansas,0,2006-07-31
Kentucky,17,2006-07-31
Louisiana,22,2006-07-31
Maine,0,2006-07-31
Maryland,36,2006-07-31
Massachusetts,5,2006-07-31
Michigan,7,2006-07-31
Minnesota,9,2006-07-31
Mississippi,0,2006-07-31
Missouri,51,2006-07-31
Montana,0,2006-07-31
Nebraska,0,2006-07-31
Nevada,52,2006-07-31
New Hampshire,0,2006-07-31
New Jersey,22,2006-07-31
New Mexico,0,2006-07-31
New York,18,2006-07-31
North Carolina,54,2006-07-31
North Dakota,0,2006-07-31
Ohio,16,2006-07-31
Oklahoma,0,2006-07-31
Oregon,12,2006-07-31
Pennsylvania,4,2006-07-31
Rhode Island,0,2006-07-31
South Carolina,21,2006-07-31
South Dakota,0,2006-07-31
Tennessee,12,2006-07-31
Texas,25,2006-07-31
Utah,65,2006-07-31
Vermont,61,2006-07-31
Virginia,6,2006-07-31
Washington,12,2006-07-31
West Virginia,0,2006-07-31
Wisconsin,0,2006-07-31
