geoName,Real Estate Investment,year
Wisconsin,0,2005-10-31
Wyoming,0,2005-10-31
Alabama,0,2005-11-30
Alaska,0,2005-11-30
Arizona,21,2005-11-30
Arkansas,0,2005-11-30
California,6,2005-11-30
Colorado,43,2005-11-30
Connecticut,61,2005-11-30
Delaware,0,2005-11-30
District of Columbia,0,2005-11-30
Florida,8,2005-11-30
Georgia,0,2005-11-30
Hawaii,84,2005-11-30
Idaho,0,2005-11-30
Illinois,34,2005-11-30
Indiana,0,2005-11-30
Iowa,0,2005-11-30
Kansas,0,2005-11-30
Kentucky,0,2005-11-30
Louisiana,0,2005-11-30
Maine,0,2005-11-30
Maryland,0,2005-11-30
Massachusetts,34,2005-11-30
Michigan,0,2005-11-30
Minnesota,0,2005-11-30
Mississippi,0,2005-11-30
Missouri,0,2005-11-30
Montana,0,2005-11-30
Nebraska,0,2005-11-30
Nevada,0,2005-11-30
New Hampshire,0,2005-11-30
New Jersey,0,2005-11-30
New Mexico,100,2005-11-30
New York,24,2005-11-30
North Carolina,16,2005-11-30
North Dakota,0,2005-11-30
Ohio,0,2005-11-30
Oklahoma,0,2005-11-30
Oregon,0,2005-11-30
Pennsylvania,20,2005-11-30
Rhode Island,0,2005-11-30
South Carolina,52,2005-11-30
South Dakota,0,2005-11-30
Tennessee,0,2005-11-30
Texas,0,2005-11-30
Utah,49,2005-11-30
Vermont,0,2005-11-30
Virginia,24,2005-11-30
Washington,27,2005-11-30
West Virginia,0,2005-11-30
Wisconsin,22,2005-11-30
Wyoming,0,2005-11-30
Alabama,0,2005-12-31
Alaska,0,2005-12-31
Arizona,40,2005-12-31
Arkansas,0,2005-12-31
California,56,2005-12-31
Colorado,42,2005-12-31
Connecticut,0,2005-12-31
Delaware,0,2005-12-31
District of Columbia,47,2005-12-31
Florida,76,2005-12-31
Georgia,0,2005-12-31
Hawaii,0,2005-12-31
Idaho,0,2005-12-31
Illinois,33,2005-12-31
Indiana,0,2005-12-31
Iowa,0,2005-12-31
Kansas,0,2005-12-31
Kentucky,0,2005-12-31
Louisiana,0,2005-12-31
Maine,0,2005-12-31
Maryland,0,2005-12-31
Massachusetts,0,2005-12-31
Michigan,0,2005-12-31
Minnesota,0,2005-12-31
Mississippi,0,2005-12-31
Missouri,0,2005-12-31
Montana,0,2005-12-31
Nebraska,0,2005-12-31
Nevada,0,2005-12-31
New Hampshire,0,2005-12-31
New Jersey,96,2005-12-31
New Mexico,0,2005-12-31
New York,38,2005-12-31
North Carolina,0,2005-12-31
North Dakota,0,2005-12-31
Ohio,48,2005-12-31
Oklahoma,0,2005-12-31
Oregon,100,2005-12-31
Pennsylvania,19,2005-12-31
Rhode Island,0,2005-12-31
South Carolina,0,2005-12-31
South Dakota,0,2005-12-31
Tennessee,0,2005-12-31
Texas,0,2005-12-31
Utah,94,2005-12-31
Vermont,0,2005-12-31
Virginia,0,2005-12-31
Washington,25,2005-12-31
West Virginia,0,2005-12-31
Wisconsin,0,2005-12-31
Wyoming,0,2005-12-31
Alabama,0,2006-01-31
Alaska,0,2006-01-31
Arizona,36,2006-01-31
Arkansas,0,2006-01-31
California,41,2006-01-31
Colorado,37,2006-01-31
Connecticut,0,2006-01-31
Delaware,0,2006-01-31
District of Columbia,86,2006-01-31
Florida,27,2006-01-31
Georgia,0,2006-01-31
Hawaii,0,2006-01-31
Idaho,0,2006-01-31
Illinois,0,2006-01-31
Indiana,0,2006-01-31
Iowa,0,2006-01-31
Kansas,86,2006-01-31
Kentucky,0,2006-01-31
Louisiana,0,2006-01-31
Maine,0,2006-01-31
Maryland,0,2006-01-31
Massachusetts,40,2006-01-31
Michigan,0,2006-01-31
Minnesota,0,2006-01-31
Mississippi,0,2006-01-31
Missouri,0,2006-01-31
Montana,0,2006-01-31
Nebraska,0,2006-01-31
Nevada,0,2006-01-31
New Hampshire,0,2006-01-31
New Jersey,22,2006-01-31
New Mexico,0,2006-01-31
New York,17,2006-01-31
North Carolina,27,2006-01-31
North Dakota,0,2006-01-31
Ohio,21,2006-01-31
Oklahoma,0,2006-01-31
Oregon,47,2006-01-31
Pennsylvania,0,2006-01-31
Rhode Island,0,2006-01-31
South Carolina,0,2006-01-31
South Dakota,0,2006-01-31
Tennessee,100,2006-01-31
Texas,21,2006-01-31
Utah,0,2006-01-31
Vermont,0,2006-01-31
Virginia,21,2006-01-31
Washington,73,2006-01-31
West Virginia,0,2006-01-31
Wisconsin,0,2006-01-31
Wyoming,0,2006-01-31
Alabama,0,2006-02-28
Alaska,0,2006-02-28
Arizona,0,2006-02-28
Arkansas,0,2006-02-28
California,26,2006-02-28
Colorado,43,2006-02-28
Connecticut,31,2006-02-28
Delaware,0,2006-02-28
District of Columbia,0,2006-02-28
Florida,0,2006-02-28
Georgia,12,2006-02-28
Hawaii,0,2006-02-28
Idaho,0,2006-02-28
Illinois,26,2006-02-28
Indiana,0,2006-02-28
Iowa,55,2006-02-28
Kansas,51,2006-02-28
Kentucky,0,2006-02-28
Louisiana,0,2006-02-28
Maine,0,2006-02-28
Maryland,21,2006-02-28
Massachusetts,24,2006-02-28
Michigan,0,2006-02-28
Minnesota,21,2006-02-28
Mississippi,0,2006-02-28
Missouri,41,2006-02-28
Montana,0,2006-02-28
Nebraska,0,2006-02-28
Nevada,0,2006-02-28
New Hampshire,82,2006-02-28
New Jersey,26,2006-02-28
New Mexico,0,2006-02-28
New York,24,2006-02-28
North Carolina,17,2006-02-28
North Dakota,0,2006-02-28
Ohio,13,2006-02-28
Oklahoma,0,2006-02-28
Oregon,0,2006-02-28
Pennsylvania,10,2006-02-28
Rhode Island,0,2006-02-28
South Carolina,100,2006-02-28
South Dakota,0,2006-02-28
Tennessee,0,2006-02-28
Texas,32,2006-02-28
Utah,48,2006-02-28
Vermont,0,2006-02-28
Virginia,25,2006-02-28
Washington,14,2006-02-28
West Virginia,0,2006-02-28
Wisconsin,22,2006-02-28
Wyoming,0,2006-02-28
Alabama,0,2006-03-31
Alaska,0,2006-03-31
Arizona,0,2006-03-31
Arkansas,0,2006-03-31
California,41,2006-03-31
Colorado,22,2006-03-31
Connecticut,0,2006-03-31
Delaware,0,2006-03-31
District of Columbia,50,2006-03-31
Florida,8,2006-03-31
Georgia,0,2006-03-31
Hawaii,82,2006-03-31
Idaho,0,2006-03-31
Illinois,18,2006-03-31
Indiana,64,2006-03-31
Iowa,0,2006-03-31
Kansas,0,2006-03-31
Kentucky,0,2006-03-31
Louisiana,0,2006-03-31
Maine,0,2006-03-31
Maryland,21,2006-03-31
Massachusetts,12,2006-03-31
Michigan,15,2006-03-31
Minnesota,0,2006-03-31
Mississippi,0,2006-03-31
Missouri,21,2006-03-31
Montana,0,2006-03-31
Nebraska,0,2006-03-31
Nevada,0,2006-03-31
New Hampshire,84,2006-03-31
New Jersey,13,2006-03-31
New Mexico,0,2006-03-31
New York,10,2006-03-31
North Carolina,0,2006-03-31
North Dakota,0,2006-03-31
Ohio,13,2006-03-31
Oklahoma,0,2006-03-31
Oregon,0,2006-03-31
Pennsylvania,20,2006-03-31
Rhode Island,0,2006-03-31
South Carolina,0,2006-03-31
South Dakota,0,2006-03-31
Tennessee,30,2006-03-31
Texas,6,2006-03-31
Utah,100,2006-03-31
Vermont,0,2006-03-31
Virginia,0,2006-03-31
Washington,0,2006-03-31
West Virginia,0,2006-03-31
Wisconsin,23,2006-03-31
Wyoming,0,2006-03-31
Alabama,56,2006-04-30
Alaska,0,2006-04-30
Arizona,22,2006-04-30
Arkansas,0,2006-04-30
California,31,2006-04-30
Colorado,47,2006-04-30
Connecticut,0,2006-04-30
Delaware,0,2006-04-30
District of Columbia,27,2006-04-30
Florida,34,2006-04-30
Georgia,13,2006-04-30
Hawaii,0,2006-04-30
Idaho,0,2006-04-30
Illinois,38,2006-04-30
Indiana,35,2006-04-30
Iowa,0,2006-04-30
Kansas,0,2006-04-30
Kentucky,0,2006-04-30
Louisiana,56,2006-04-30
Maine,0,2006-04-30
Maryland,0,2006-04-30
Massachusetts,13,2006-04-30
Michigan,33,2006-04-30
Minnesota,0,2006-04-30
Mississippi,0,2006-04-30
Missouri,0,2006-04-30
Montana,0,2006-04-30
Nebraska,0,2006-04-30
Nevada,69,2006-04-30
New Hampshire,0,2006-04-30
New Jersey,0,2006-04-30
New Mexico,0,2006-04-30
New York,11,2006-04-30
North Carolina,18,2006-04-30
North Dakota,0,2006-04-30
Ohio,0,2006-04-30
Oklahoma,0,2006-04-30
Oregon,57,2006-04-30
Pennsylvania,11,2006-04-30
Rhode Island,0,2006-04-30
South Carolina,0,2006-04-30
South Dakota,0,2006-04-30
Tennessee,100,2006-04-30
Texas,7,2006-04-30
Utah,0,2006-04-30
Vermont,0,2006-04-30
Virginia,0,2006-04-30
Washington,44,2006-04-30
West Virginia,0,2006-04-30
Wisconsin,24,2006-04-30
Wyoming,0,2006-04-30
Alabama,0,2006-05-31
Alaska,0,2006-05-31
Arizona,0,2006-05-31
Arkansas,0,2006-05-31
California,55,2006-05-31
Colorado,53,2006-05-31
Connecticut,37,2006-05-31
Delaware,0,2006-05-31
District of Columbia,0,2006-05-31
Florida,56,2006-05-31
Georgia,56,2006-05-31
Hawaii,100,2006-05-31
Idaho,0,2006-05-31
Illinois,11,2006-05-31
Indiana,0,2006-05-31
Iowa,0,2006-05-31
Kansas,0,2006-05-31
Kentucky,0,2006-05-31
Louisiana,0,2006-05-31
Maine,0,2006-05-31
Maryland,0,2006-05-31
Massachusetts,43,2006-05-31
Michigan,0,2006-05-31
Minnesota,0,2006-05-31
