region,sub_region,State,FIPS_State_code,year,month,total_number_hpa
North East,mid atlantic,New Jersey,34,2010,September,1254
North East,mid atlantic,New York,36,2010,September,1570
North East,mid atlantic,Pennsylvania,42,2010,September,2224
Midwest,East North Central,Illinois,17,2010,September,1024
Midwest,East North Central,Indiana,18,2010,September,1161
Midwest,East North Central,Michigan,26,2010,September,739
Midwest,East North Central,Ohio,39,2010,September,1045
Midwest,East North Central,Wisconsin,55,2010,September,875
Midwest,West North Central,Iowa,19,2010,September,692
Midwest,West North Central,Kansas,20,2010,September,411
Midwest,West North Central,Minnesota,27,2010,September,673
Midwest,West North Central,Missouri,29,2010,September,807
Midwest,West North Central,Nebraska,31,2010,September,416
Midwest,West North Central,North Dakota,38,2010,September,379
Midwest,West North Central,South Dakota,46,2010,September,279
South,South Atlantic,Delaware,10,2010,September,256
South,South Atlantic,District of Columbia,11,2010,September,17
South,South Atlantic,Florida,12,2010,September,2772
South,South Atlantic,Georgia,13,2010,September,1156
South,South Atlantic,Maryland,24,2010,September,733
South,South Atlantic,North Carolina,37,2010,September,2248
South,South Atlantic,South Carolina,45,2010,September,998
South,South Atlantic,Virginia,51,2010,September,1984
South,South Atlantic,West Virginia,54,2010,September,175
South,East South Central,Alabama,1,2010,September,738
South,East South Central,Kentucky,21,2010,September,540
South,East South Central,Mississippi,28,2010,September,383
South,East South Central,Tennessee,47,2010,September,1249
South,West South Central,Arkansas,5,2010,September,522
South,West South Central,Louisiana,22,2010,September,965
South,West South Central,Oklahoma,40,2010,September,617
South,West South Central,Texas,48,2010,September,6364
West,Mountain,Arizona,4,2010,September,1055
West,Mountain,Colorado,8,2010,September,1331
West,Mountain,Idaho,16,2010,September,297
West,Mountain,Montana,30,2010,September,251
West,Mountain,Nevada,32,2010,September,303
West,Mountain,New Mexico,35,2010,September,329
West,Mountain,Utah,49,2010,September,863
West,Mountain,Wyoming,56,2010,September,134
West,Pacific,Alaska,2,2010,September,87
West,Pacific,California,6,2010,September,2826
West,Pacific,Hawaii,15,2010,September,281
West,Pacific,Oregon,41,2010,September,568
West,Pacific,Washington,53,2010,September,1515
North East,New England,Connecticut,9,2010,October,293
North East,New England,Maine,23,2010,October,248
North East,New England,Massachusetts,25,2010,October,614
North East,New England,New Hampshire,33,2010,October,218
North East,New England,Rhode Island,44,2010,October,96
North East,New England,Vermont,50,2010,October,108
North East,mid atlantic,New Jersey,34,2010,October,1123
North East,mid atlantic,New York,36,2010,October,1575
North East,mid atlantic,Pennsylvania,42,2010,October,1925
Midwest,East North Central,Illinois,17,2010,October,1256
Midwest,East North Central,Indiana,18,2010,October,1044
Midwest,East North Central,Michigan,26,2010,October,842
Midwest,East North Central,Ohio,39,2010,October,1404
Midwest,East North Central,Wisconsin,55,2010,October,1293
Midwest,West North Central,Iowa,19,2010,October,668
Midwest,West North Central,Kansas,20,2010,October,329
Midwest,West North Central,Minnesota,27,2010,October,1247
Midwest,West North Central,Missouri,29,2010,October,653
Midwest,West North Central,Nebraska,31,2010,October,608
Midwest,West North Central,North Dakota,38,2010,October,399
Midwest,West North Central,South Dakota,46,2010,October,285
South,South Atlantic,Delaware,10,2010,October,208
South,South Atlantic,District of Columbia,11,2010,October,11
South,South Atlantic,Florida,12,2010,October,2630
South,South Atlantic,Georgia,13,2010,October,928
South,South Atlantic,Maryland,24,2010,October,676
South,South Atlantic,North Carolina,37,2010,October,2365
South,South Atlantic,South Carolina,45,2010,October,1060
South,South Atlantic,Virginia,51,2010,October,1397
South,South Atlantic,West Virginia,54,2010,October,95
South,East South Central,Alabama,1,2010,October,806
South,East South Central,Kentucky,21,2010,October,734
South,East South Central,Mississippi,28,2010,October,353
South,East South Central,Tennessee,47,2010,October,931
South,West South Central,Arkansas,5,2010,October,360
South,West South Central,Louisiana,22,2010,October,977
South,West South Central,Oklahoma,40,2010,October,476
South,West South Central,Texas,48,2010,October,5015
West,Mountain,Arizona,4,2010,October,855
West,Mountain,Colorado,8,2010,October,763
West,Mountain,Idaho,16,2010,October,292
West,Mountain,Montana,30,2010,October,173
West,Mountain,Nevada,32,2010,October,433
West,Mountain,New Mexico,35,2010,October,288
West,Mountain,Utah,49,2010,October,574
West,Mountain,Wyoming,56,2010,October,218
West,Pacific,Alaska,2,2010,October,53
West,Pacific,California,6,2010,October,3030
West,Pacific,Hawaii,15,2010,October,174
West,Pacific,Oregon,41,2010,October,494
West,Pacific,Washington,53,2010,October,1446
North East,New England,Connecticut,9,2010,November,300
North East,New England,Maine,23,2010,November,216
North East,New England,Massachusetts,25,2010,November,828
North East,New England,New Hampshire,33,2010,November,209
North East,New England,Rhode Island,44,2010,November,66
North East,New England,Vermont,50,2010,November,102
North East,mid atlantic,New Jersey,34,2010,November,911
North East,mid atlantic,New York,36,2010,November,1310
North East,mid atlantic,Pennsylvania,42,2010,November,1352
Midwest,East North Central,Illinois,17,2010,November,781
Midwest,East North Central,Indiana,18,2010,November,827
Midwest,East North Central,Michigan,26,2010,November,960
Midwest,East North Central,Ohio,39,2010,November,742
Midwest,East North Central,Wisconsin,55,2010,November,835
Midwest,West North Central,Iowa,19,2010,November,734
Midwest,West North Central,Kansas,20,2010,November,384
Midwest,West North Central,Minnesota,27,2010,November,568
Midwest,West North Central,Missouri,29,2010,November,602
Midwest,West North Central,Nebraska,31,2010,November,381
Midwest,West North Central,North Dakota,38,2010,November,240
Midwest,West North Central,South Dakota,46,2010,November,178
South,South Atlantic,Delaware,10,2010,November,217
South,South Atlantic,District of Columbia,11,2010,November,45
South,South Atlantic,Florida,12,2010,November,2710
South,South Atlantic,Georgia,13,2010,November,1029
South,South Atlantic,Maryland,24,2010,November,694
South,South Atlantic,North Carolina,37,2010,November,2262
South,South Atlantic,South Carolina,45,2010,November,924
South,South Atlantic,Virginia,51,2010,November,1265
South,South Atlantic,West Virginia,54,2010,November,99
South,East South Central,Alabama,1,2010,November,596
South,East South Central,Kentucky,21,2010,November,403
South,East South Central,Mississippi,28,2010,November,400
South,East South Central,Tennessee,47,2010,November,750
South,West South Central,Arkansas,5,2010,November,300
South,West South Central,Louisiana,22,2010,November,814
South,West South Central,Oklahoma,40,2010,November,468
South,West South Central,Texas,48,2010,November,5801
West,Mountain,Arizona,4,2010,November,755
West,Mountain,Colorado,8,2010,November,759
West,Mountain,Idaho,16,2010,November,446
West,Mountain,Montana,30,2010,November,139
West,Mountain,Nevada,32,2010,November,240
West,Mountain,New Mexico,35,2010,November,272
West,Mountain,Utah,49,2010,November,811
West,Mountain,Wyoming,56,2010,November,186
West,Pacific,Alaska,2,2010,November,37
West,Pacific,California,6,2010,November,2877
West,Pacific,Hawaii,15,2010,November,165
West,Pacific,Oregon,41,2010,November,463
West,Pacific,Washington,53,2010,November,1185
North East,New England,Connecticut,9,2010,December,215
North East,New England,Maine,23,2010,December,207
North East,New England,Massachusetts,25,2010,December,737
North East,New England,New Hampshire,33,2010,December,208
North East,New England,Rhode Island,44,2010,December,108
North East,New England,Vermont,50,2010,December,98
North East,mid atlantic,New Jersey,34,2010,December,1349
North East,mid atlantic,New York,36,2010,December,2805
North East,mid atlantic,Pennsylvania,42,2010,December,2944
Midwest,East North Central,Illinois,17,2010,December,946
Midwest,East North Central,Indiana,18,2010,December,640
Midwest,East North Central,Michigan,26,2010,December,554
Midwest,East North Central,Ohio,39,2010,December,648
Midwest,East North Central,Wisconsin,55,2010,December,567
Midwest,West North Central,Iowa,19,2010,December,508
Midwest,West North Central,Kansas,20,2010,December,312
Midwest,West North Central,Minnesota,27,2010,December,596
Midwest,West North Central,Missouri,29,2010,December,547
Midwest,West North Central,Nebraska,31,2010,December,311
Midwest,West North Central,North Dakota,38,2010,December,275
Midwest,West North Central,South Dakota,46,2010,December,79
South,South Atlantic,Delaware,10,2010,December,180
South,South Atlantic,District of Columbia,11,2010,December,83
South,South Atlantic,Florida,12,2010,December,3038
South,South Atlantic,Georgia,13,2010,December,1240
South,South Atlantic,Maryland,24,2010,December,599
South,South Atlantic,North Carolina,37,2010,December,1994
South,South Atlantic,South Carolina,45,2010,December,886
South,South Atlantic,Virginia,51,2010,December,936
South,South Atlantic,West Virginia,54,2010,December,82
South,East South Central,Alabama,1,2010,December,873
South,East South Central,Kentucky,21,2010,December,423
South,East South Central,Mississippi,28,2010,December,459
South,East South Central,Tennessee,47,2010,December,914
South,West South Central,Arkansas,5,2010,December,563
South,West South Central,Louisiana,22,2010,December,984
South,West South Central,Oklahoma,40,2010,December,669
South,West South Central,Texas,48,2010,December,5613
West,Mountain,Arizona,4,2010,December,809
West,Mountain,Colorado,8,2010,December,1043
West,Mountain,Idaho,16,2010,December,168
West,Mountain,Montana,30,2010,December,117
West,Mountain,Nevada,32,2010,December,544
West,Mountain,New Mexico,35,2010,December,320
West,Mountain,Utah,49,2010,December,663
West,Mountain,Wyoming,56,2010,December,91
