Fips,Year,Population,Interest Rate,Month,Unemployment Rate,HPA
29,2010,5996089.0,0.75,9,9.5,807
30,2010,990730.0,0.75,9,9.5,251
31,2010,1829591.0,0.75,9,9.5,416
32,2010,2702483.0,0.75,9,9.5,303
33,2010,1316807.0,0.75,9,9.5,195
34,2010,8799451.0,0.75,9,9.5,1254
35,2010,2064614.0,0.75,9,9.5,329
36,2010,19399956.0,0.75,9,9.5,1570
37,2010,9574586.0,0.75,9,9.5,2248
38,2010,674752.0,0.75,9,9.5,379
39,2010,11539449.0,0.75,9,9.5,1045
40,2010,3760014.0,0.75,9,9.5,617
41,2010,3837614.0,0.75,9,9.5,568
42,2010,12711406.0,0.75,9,9.5,2224
44,2010,1053994.0,0.75,9,9.5,97
45,2010,4635846.0,0.75,9,9.5,998
46,2010,816193.0,0.75,9,9.5,279
47,2010,6355518.0,0.75,9,9.5,1249
48,2010,25241897.0,0.75,9,9.5,6364
49,2010,2775413.0,0.75,9,9.5,863
50,2010,625886.0,0.75,9,9.5,168
51,2010,8024004.0,0.75,9,9.5,1984
53,2010,6743009.0,0.75,9,9.5,1515
54,2010,1854265.0,0.75,9,9.5,175
55,2010,5690538.0,0.75,9,9.5,875
56,2010,564531.0,0.75,9,9.5,134
1,2010,4785514.0,0.75,10,9.4,806
2,2010,713982.0,0.75,10,9.4,53
4,2010,6407342.0,0.75,10,9.4,855
5,2010,2921998.0,0.75,10,9.4,360
6,2010,37319550.0,0.75,10,9.4,3030
8,2010,5047539.0,0.75,10,9.4,763
9,2010,3579173.0,0.75,10,9.4,293
10,2010,899647.0,0.75,10,9.4,208
11,2010,605282.0,0.75,10,9.4,11
12,2010,18846143.0,0.75,10,9.4,2630
13,2010,9712209.0,0.75,10,9.4,928
15,2010,1364004.0,0.75,10,9.4,174
16,2010,1570819.0,0.75,10,9.4,292
17,2010,12840545.0,0.75,10,9.4,1256
18,2010,6490555.0,0.75,10,9.4,1044
19,2010,3050819.0,0.75,10,9.4,668
20,2010,2858266.0,0.75,10,9.4,329
21,2010,4348464.0,0.75,10,9.4,734
22,2010,4544635.0,0.75,10,9.4,977
23,2010,1327651.0,0.75,10,9.4,248
24,2010,5788784.0,0.75,10,9.4,676
25,2010,6566440.0,0.75,10,9.4,614
26,2010,9877597.0,0.75,10,9.4,842
27,2010,5310934.0,0.75,10,9.4,1247
28,2010,2970615.0,0.75,10,9.4,353
29,2010,5996089.0,0.75,10,9.4,653
30,2010,990730.0,0.75,10,9.4,173
31,2010,1829591.0,0.75,10,9.4,608
32,2010,2702483.0,0.75,10,9.4,433
33,2010,1316807.0,0.75,10,9.4,218
34,2010,8799451.0,0.75,10,9.4,1123
35,2010,2064614.0,0.75,10,9.4,288
36,2010,19399956.0,0.75,10,9.4,1575
37,2010,9574586.0,0.75,10,9.4,2365
38,2010,674752.0,0.75,10,9.4,399
39,2010,11539449.0,0.75,10,9.4,1404
40,2010,3760014.0,0.75,10,9.4,476
41,2010,3837614.0,0.75,10,9.4,494
42,2010,12711406.0,0.75,10,9.4,1925
44,2010,1053994.0,0.75,10,9.4,96
45,2010,4635846.0,0.75,10,9.4,1060
46,2010,816193.0,0.75,10,9.4,285
47,2010,6355518.0,0.75,10,9.4,931
48,2010,25241897.0,0.75,10,9.4,5015
49,2010,2775413.0,0.75,10,9.4,574
50,2010,625886.0,0.75,10,9.4,108
51,2010,8024004.0,0.75,10,9.4,1397
53,2010,6743009.0,0.75,10,9.4,1446
54,2010,1854265.0,0.75,10,9.4,95
55,2010,5690538.0,0.75,10,9.4,1293
56,2010,564531.0,0.75,10,9.4,218
1,2010,4785514.0,0.75,11,9.8,596
2,2010,713982.0,0.75,11,9.8,37
4,2010,6407342.0,0.75,11,9.8,755
5,2010,2921998.0,0.75,11,9.8,300
6,2010,37319550.0,0.75,11,9.8,2877
8,2010,5047539.0,0.75,11,9.8,759
9,2010,3579173.0,0.75,11,9.8,300
10,2010,899647.0,0.75,11,9.8,217
11,2010,605282.0,0.75,11,9.8,45
12,2010,18846143.0,0.75,11,9.8,2710
13,2010,9712209.0,0.75,11,9.8,1029
15,2010,1364004.0,0.75,11,9.8,165
16,2010,1570819.0,0.75,11,9.8,446
17,2010,12840545.0,0.75,11,9.8,781
18,2010,6490555.0,0.75,11,9.8,827
19,2010,3050819.0,0.75,11,9.8,734
20,2010,2858266.0,0.75,11,9.8,384
21,2010,4348464.0,0.75,11,9.8,403
22,2010,4544635.0,0.75,11,9.8,814
23,2010,1327651.0,0.75,11,9.8,216
24,2010,5788784.0,0.75,11,9.8,694
25,2010,6566440.0,0.75,11,9.8,828
26,2010,9877597.0,0.75,11,9.8,960
27,2010,5310934.0,0.75,11,9.8,568
28,2010,2970615.0,0.75,11,9.8,400
29,2010,5996089.0,0.75,11,9.8,602
30,2010,990730.0,0.75,11,9.8,139
31,2010,1829591.0,0.75,11,9.8,381
32,2010,2702483.0,0.75,11,9.8,240
33,2010,1316807.0,0.75,11,9.8,209
34,2010,8799451.0,0.75,11,9.8,911
35,2010,2064614.0,0.75,11,9.8,272
36,2010,19399956.0,0.75,11,9.8,1310
37,2010,9574586.0,0.75,11,9.8,2262
38,2010,674752.0,0.75,11,9.8,240
39,2010,11539449.0,0.75,11,9.8,742
40,2010,3760014.0,0.75,11,9.8,468
41,2010,3837614.0,0.75,11,9.8,463
42,2010,12711406.0,0.75,11,9.8,1352
44,2010,1053994.0,0.75,11,9.8,66
45,2010,4635846.0,0.75,11,9.8,924
46,2010,816193.0,0.75,11,9.8,178
47,2010,6355518.0,0.75,11,9.8,750
48,2010,25241897.0,0.75,11,9.8,5801
49,2010,2775413.0,0.75,11,9.8,811
50,2010,625886.0,0.75,11,9.8,102
51,2010,8024004.0,0.75,11,9.8,1265
53,2010,6743009.0,0.75,11,9.8,1185
54,2010,1854265.0,0.75,11,9.8,99
55,2010,5690538.0,0.75,11,9.8,835
56,2010,564531.0,0.75,11,9.8,186
1,2010,4785514.0,0.75,12,9.3,873
2,2010,713982.0,0.75,12,9.3,28
4,2010,6407342.0,0.75,12,9.3,809
5,2010,2921998.0,0.75,12,9.3,563
6,2010,37319550.0,0.75,12,9.3,6144
8,2010,5047539.0,0.75,12,9.3,1043
9,2010,3579173.0,0.75,12,9.3,215
