Fips,Year,Population,Interest Rate,Month,Unemployment Rate,HPA,HPI
37,2011,9658913.0,0.75,4,9.1,2681,299.16
38,2011,685526.0,0.75,4,9.1,316,262.51
39,2011,11545735.0,0.75,4,9.1,1107,233.62
40,2011,3788824.0,0.75,4,9.1,995,199.47
41,2011,3872672.0,0.75,4,9.1,707,341.72
42,2011,12747052.0,0.75,4,9.1,1225,364.91
44,2011,1053829.0,0.75,4,9.1,64,448.34
45,2011,4672655.0,0.75,4,9.1,1490,301.86
46,2011,823740.0,0.75,4,9.1,267,288.77
47,2011,6400298.0,0.75,4,9.1,1078,277.86
48,2011,25645504.0,0.75,4,9.1,8184,217.7
49,2011,2814797.0,0.75,4,9.1,599,299.08
50,2011,627197.0,0.75,4,9.1,143,433.97
51,2011,8102437.0,0.75,4,9.1,1516,388.67
53,2011,6827479.0,0.75,4,9.1,2255,384.06
54,2011,1856606.0,0.75,4,9.1,131,200.18
55,2011,5705840.0,0.75,4,9.1,1203,290.57
56,2011,567491.0,0.75,4,9.1,152,261.1
1,2011,4799642.0,0.75,7,9.0,851,277.41
2,2011,722349.0,0.75,7,9.0,112,285.29
4,2011,6473416.0,0.75,7,9.0,1490,232.75
5,2011,2941038.0,0.75,7,9.0,662,242.15
6,2011,37636311.0,0.75,7,9.0,2548,387.31
8,2011,5121900.0,0.75,7,9.0,1532,328.13
9,2011,3588632.0,0.75,7,9.0,276,390.74
10,2011,907590.0,0.75,7,9.0,246,405.27
11,2011,620290.0,0.75,7,9.0,19,567.87
12,2011,19055607.0,0.75,7,9.0,4149,270.21
13,2011,9803630.0,0.75,7,9.0,1228,258.95
15,2011,1379562.0,0.75,7,9.0,178,446.87
16,2011,1584272.0,0.75,7,9.0,434,259.2
17,2011,12867783.0,0.75,7,9.0,825,300.07
18,2011,6517250.0,0.75,7,9.0,1162,240.64
19,2011,3066772.0,0.75,7,9.0,559,245.79
20,2011,2869677.0,0.75,7,9.0,715,231.44
21,2011,4370817.0,0.75,7,9.0,466,282.7
22,2011,4576244.0,0.75,7,9.0,853,237.72
23,2011,1328473.0,0.75,7,9.0,238,447.73
24,2011,5840241.0,0.75,7,9.0,1092,407.51
25,2011,6614218.0,0.75,7,9.0,449,602.87
26,2011,9883053.0,0.75,7,9.0,869,230.59
27,2011,5346620.0,0.75,7,9.0,865,295.18
28,2011,2979147.0,0.75,7,9.0,320,239.71
29,2011,6011182.0,0.75,7,9.0,701,269.16
30,2011,997518.0,0.75,7,9.0,184,346.03
31,2011,1840914.0,0.75,7,9.0,448,249.0
32,2011,2713114.0,0.75,7,9.0,368,186.71
33,2011,1320444.0,0.75,7,9.0,187,378.97
34,2011,8828552.0,0.75,7,9.0,950,462.45
35,2011,2080707.0,0.75,7,9.0,322,285.19
36,2011,19499921.0,0.75,7,9.0,1469,558.69
37,2011,9658913.0,0.75,7,9.0,2583,300.65
38,2011,685526.0,0.75,7,9.0,397,265.59
39,2011,11545735.0,0.75,7,9.0,1205,236.56
40,2011,3788824.0,0.75,7,9.0,589,199.01
41,2011,3872672.0,0.75,7,9.0,868,344.83
42,2011,12747052.0,0.75,7,9.0,1205,365.4
44,2011,1053829.0,0.75,7,9.0,71,449.31
45,2011,4672655.0,0.75,7,9.0,1229,304.37
46,2011,823740.0,0.75,7,9.0,273,291.56
47,2011,6400298.0,0.75,7,9.0,949,281.05
48,2011,25645504.0,0.75,7,9.0,8316,219.53
49,2011,2814797.0,0.75,7,9.0,899,304.46
