,0,year,mo,1
7,New Jersey,2017,May,3008
8,New York,2017,May,2881
9,Pennsylvania,2017,May,2599
12,Illinois,2017,May,1493
13,Indiana,2017,May,2016
14,Michigan,2017,May,2590
15,Ohio,2017,May,2030
16,Wisconsin,2017,May,1958
18,Iowa,2017,May,1149
19,Kansas,2017,May,774
20,Minnesota,2017,May,2215
21,Missouri,2017,May,1817
22,Nebraska,2017,May,1010
23,North Dakota,2017,May,505
24,South Dakota,2017,May,414
27,Delaware,2017,May,587
28,District of Columbia,2017,May,318
29,Florida,2017,May,10608
30,Georgia,2017,May,4158
31,Maryland,2017,May,1856
32,North Carolina,2017,May,5315
33,South Carolina,2017,May,3086
34,Virginia,2017,May,2510
35,West Virginia,2017,May,268
37,Alabama,2017,May,1278
38,Kentucky,2017,May,1403
39,Mississippi,2017,May,675
40,Tennessee,2017,May,3711
42,Arkansas,2017,May,698
43,Louisiana,2017,May,1335
44,Oklahoma,2017,May,1352
45,Texas,2017,May,15578
48,Arizona,2017,May,3716
49,Colorado,2017,May,2865
50,Idaho,2017,May,1301
51,Montana,2017,May,410
52,Nevada,2017,May,1812
53,New Mexico,2017,May,451
54,Utah,2017,May,1974
55,Wyoming,2017,May,186
57,Alaska,2017,May,164
58,California,2017,May,9599
59,Hawaii,2017,May,382
60,Oregon,2017,May,1798
61,Washington,2017,May,3947
0,Connecticut,2017,June,360
1,Maine,2017,June,489
2,Massachusetts,2017,June,1863
3,New Hampshire,2017,June,263
4,Rhode Island,2017,June,109
5,Vermont,2017,June,213
7,New Jersey,2017,June,2174
8,New York,2017,June,3222
9,Pennsylvania,2017,June,2288
12,Illinois,2017,June,3489
13,Indiana,2017,June,2355
14,Michigan,2017,June,2843
15,Ohio,2017,June,3086
16,Wisconsin,2017,June,1951
18,Iowa,2017,June,1213
19,Kansas,2017,June,825
20,Minnesota,2017,June,2566
21,Missouri,2017,June,1375
22,Nebraska,2017,June,744
23,North Dakota,2017,June,337
24,South Dakota,2017,June,539
27,Delaware,2017,June,726
28,District of Columbia,2017,June,389
29,Florida,2017,June,12365
30,Georgia,2017,June,4704
31,Maryland,2017,June,1565
32,North Carolina,2017,June,5410
33,South Carolina,2017,June,3110
34,Virginia,2017,June,3445
35,West Virginia,2017,June,251
37,Alabama,2017,June,1343
38,Kentucky,2017,June,1240
39,Mississippi,2017,June,606
40,Tennessee,2017,June,4173
42,Arkansas,2017,June,1072
43,Louisiana,2017,June,1313
44,Oklahoma,2017,June,1026
45,Texas,2017,June,17188
48,Arizona,2017,June,3399
49,Colorado,2017,June,4640
50,Idaho,2017,June,1387
51,Montana,2017,June,829
52,Nevada,2017,June,1818
53,New Mexico,2017,June,598
54,Utah,2017,June,2198
55,Wyoming,2017,June,189
57,Alaska,2017,June,185
58,California,2017,June,14218
59,Hawaii,2017,June,358
60,Oregon,2017,June,1873
61,Washington,2017,June,3955
0,Connecticut,2017,July,430
1,Maine,2017,July,412
2,Massachusetts,2017,July,1970
3,New Hampshire,2017,July,352
4,Rhode Island,2017,July,106
5,Vermont,2017,July,139
